16,1,-1,-1
17,2,-1,0
18,3,-1,1
19,4,-1,2
20,5,-1,3
21,6,-1,4
22,7,-1,5
23,8,-1,6
24,9,-1,7
25,10,-1,8
26,11,-1,9
27,12,-1,10
28,13,-1,11
29,14,-1,12
30,15,-1,13
31,-1,-1,14
32,17,0,-1
33,18,1,16
34,19,2,17
35,20,3,18
36,21,4,19
37,22,5,20
38,23,6,21
39,24,7,22
40,25,8,23
41,26,9,24
42,27,10,25
43,28,11,26
44,29,12,27
45,30,13,28
46,31,14,29
47,-1,15,30
48,33,16,-1
49,34,17,32
50,35,18,33
51,36,19,34
52,37,20,35
53,38,21,36
54,39,22,37
55,40,23,38
56,41,24,39
57,42,25,40
58,43,26,41
59,44,27,42
60,45,28,43
61,46,29,44
62,47,30,45
63,-1,31,46
64,49,32,-1
65,50,33,48
66,51,34,49
67,52,35,50
68,53,36,51
69,54,37,52
70,55,38,53
71,56,39,54
72,57,40,55
73,58,41,56
74,59,42,57
75,60,43,58
76,61,44,59
77,62,45,60
78,63,46,61
79,-1,47,62
80,65,48,-1
81,66,49,64
82,67,50,65
83,68,51,66
84,69,52,67
85,70,53,68
86,71,54,69
87,72,55,70
88,73,56,71
89,74,57,72
90,75,58,73
91,76,59,74
92,77,60,75
93,78,61,76
94,79,62,77
95,-1,63,78
96,81,64,-1
97,82,65,80
98,83,66,81
99,84,67,82
100,85,68,83
101,86,69,84
102,87,70,85
103,88,71,86
104,89,72,87
105,90,73,88
106,91,74,89
107,92,75,90
108,93,76,91
109,94,77,92
110,95,78,93
111,-1,79,94
112,97,80,-1
113,98,81,96
114,99,82,97
115,100,83,98
116,101,84,99
117,102,85,100
118,103,86,101
119,104,87,102
120,105,88,103
121,106,89,104
122,107,90,105
123,108,91,106
124,109,92,107
125,110,93,108
126,111,94,109
127,-1,95,110
128,113,96,-1
129,114,97,112
130,115,98,113
131,116,99,114
132,117,100,115
133,118,101,116
134,119,102,117
135,120,103,118
136,121,104,119
137,122,105,120
138,123,106,121
139,124,107,122
140,125,108,123
141,126,109,124
142,127,110,125
143,-1,111,126
144,129,112,-1
145,130,113,128
146,131,114,129
147,132,115,130
148,133,116,131
149,134,117,132
150,135,118,133
151,136,119,134
152,137,120,135
153,138,121,136
154,139,122,137
155,140,123,138
156,141,124,139
157,142,125,140
158,143,126,141
159,-1,127,142
160,145,128,-1
161,146,129,144
162,147,130,145
163,148,131,146
164,149,132,147
165,150,133,148
166,151,134,149
167,152,135,150
168,153,136,151
169,154,137,152
170,155,138,153
171,156,139,154
172,157,140,155
173,158,141,156
174,159,142,157
175,-1,143,158
176,161,144,-1
177,162,145,160
178,163,146,161
179,164,147,162
180,165,148,163
181,166,149,164
182,167,150,165
183,168,151,166
184,169,152,167
185,170,153,168
186,171,154,169
187,172,155,170
188,173,156,171
189,174,157,172
190,175,158,173
191,-1,159,174
192,177,160,-1
193,178,161,176
194,179,162,177
195,180,163,178
196,181,164,179
197,182,165,180
198,183,166,181
199,184,167,182
200,185,168,183
201,186,169,184
202,187,170,185
203,188,171,186
204,189,172,187
205,190,173,188
206,191,174,189
207,-1,175,190
208,193,176,-1
209,194,177,192
210,195,178,193
211,196,179,194
212,197,180,195
213,198,181,196
214,199,182,197
215,200,183,198
216,201,184,199
217,202,185,200
218,203,186,201
219,204,187,202
220,205,188,203
221,206,189,204
222,207,190,205
223,-1,191,206
224,209,192,-1
225,210,193,208
226,211,194,209
227,212,195,210
228,213,196,211
229,214,197,212
230,215,198,213
231,216,199,214
232,217,200,215
233,218,201,216
234,219,202,217
235,220,203,218
236,221,204,219
237,222,205,220
238,223,206,221
239,-1,207,222
240,225,208,-1
241,226,209,224
242,227,210,225
243,228,211,226
244,229,212,227
245,230,213,228
246,231,214,229
247,232,215,230
248,233,216,231
249,234,217,232
250,235,218,233
251,236,219,234
252,237,220,235
253,238,221,236
254,239,222,237
255,-1,223,238
-1,241,224,-1
-1,242,225,240
-1,243,226,241
-1,244,227,242
-1,245,228,243
-1,246,229,244
-1,247,230,245
-1,248,231,246
-1,249,232,247
-1,250,233,248
-1,251,234,249
-1,252,235,250
-1,253,236,251
-1,254,237,252
-1,255,238,253
-1,-1,239,254
